,,,,,,
112,-0.13,0.03,0,4.17,0.64,9.05
,,,,,,
113,-0.16,0.03,0,4.01,0.42,8.62
,,,,,,
114,-0.13,0.07,-0.02,3.87,0.46,8.62
,,,,,,
115,-0.16,0.03,-0.02,3.79,0.27,9.21
,,,,,,
116,-0.11,-0.01,-0.01,3.67,-0.24,8.51
,,,,,,
117,-0.07,0.04,0,4.26,0.05,8.76
,,,,,,
118,-0.07,0.02,0,4.21,0.53,8.64
,,,,,,
119,-0.09,-0.01,0,4.48,0.86,8.71
,,,,,,
120,-0.15,0.05,-0.01,3.83,0.52,9.27
,,,,,,
121,-0.15,0.05,-0.01,4.46,0.77,8.92
,,,,,,
122,-0.17,0.04,-0.01,3.73,0.22,8.04
,,,,,,
123,-0.15,0.1,-0.03,4.75,0.44,7.67
,,,,,,
124,-0.17,0.06,-0.04,3.92,0.31,8.64
,,,,,,
125,-0.12,-0.02,-0.02,4.55,-0.15,8.34
,,,,,,
126,-0.08,0.06,-0.02,4.32,-0.06,8.32
,,,,,,
127,-0.07,0,-0.01,4.31,1.13,8.28
,,,,,,
128,-0.08,0.01,-0.01,4.45,0.47,8.99
,,,,,,
129,-0.14,0.05,-0.01,4.37,0.64,8.66
,,,,,,
130,-0.15,0.04,-0.01,4.38,0.51,8.75
,,,,,,
131,-0.18,0.06,-0.01,4.41,0.18,8.54
,,,,,,
132,-0.14,0.03,-0.01,4.21,0.57,8.71
,,,,,,
133,-0.14,0.07,-0.03,4.07,-0.11,8.71
,,,,,,
134,-0.12,0,-0.03,4.34,0.34,9.09
,,,,,,
135,-0.11,0.01,-0.01,4.39,-0.04,8.88
,,,,,,
136,-0.12,0.01,-0.01,3.97,0.74,8.29
,,,,,,
137,-0.12,0.02,0,4.61,0.9,9.54
,,,,,,
138,-0.13,0.04,0.01,3.91,0.75,9.1
,,,,,,
139,-0.11,0.03,-0.01,4.22,0.84,9.21
,,,,,,
140,-0.12,0.07,-0.02,4.19,0.46,8.63
,,,,,,
141,-0.14,0.08,-0.03,4.38,0.15,8.5
,,,,,,
142,-0.13,0.04,-0.02,3.85,0.54,8.39
,,,,,,
143,-0.11,0.04,-0.02,4.54,0.17,8.82
,,,,,,
144,-0.12,-0.01,-0.03,3.93,1.02,8.88
,,,,,,
145,-0.14,-0.06,0,4.24,-0.59,6.98
,,,,,,
146,-0.17,0.1,0,4.32,0.51,8.06
,,,,,,
147,-0.15,0.01,0.01,3.57,0.17,9.07
,,,,,,
148,-0.09,0.04,0,3.86,0.31,8.59
,,,,,,
149,-0.1,0.12,-0.01,4.35,0.71,8.94
,,,,,,
150,-0.11,0.06,-0.02,3.93,0.73,9.25
,,,,,,
151,-0.12,0.05,-0.03,4.54,0.55,8.6
,,,,,,
152,-0.09,0.05,-0.04,4.39,0.83,8.69
,,,,,,
